LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1996,"SNAPPER, YELLOWTAIL",481560.5918365043,869180.4746352391,88,FALSE
1996,"TRIGGERFISH, GRAY",32834,24684,15,FALSE
1997,"AMBERJACK, GREATER",741481.7000000001,788955.45,116,FALSE
1997,COBIA,177236.72,300956.85,166,FALSE
1997,"GROUPER, GAG",1645133.7,3797193.19,155,FALSE
1997,"GROUPER, RED",5504963.8,10020482.92,158,FALSE
1997,"GROUPER, YELLOWEDGE",793314.68,1755327.6300000001,71,FALSE
1997,HOGFISH,23839.04,44736.8,53,FALSE
1997,"MACKEREL, KING",767884.12,959822.7,85,FALSE
1997,"MACKEREL, SPANISH",540216,281781.17,99,FALSE
1997,SCAMP,336869.96,784224.76,108,FALSE
1997,"SNAPPER, GRAY",214552.1,354601.08,174,FALSE
1997,"SNAPPER, MUTTON",66543.21,105813.99,76,FALSE
1997,"SNAPPER, RED",4813452.8,8417620.66,140,FALSE
1997,"SNAPPER, VERMILION",2131777.45,3788308.54,122,FALSE
1997,"SNAPPER, YELLOWTAIL",221889.69,415466.91000000003,78,FALSE
1997,"TRIGGERFISH, GRAY",26695,16151,18,FALSE
1998,"AMBERJACK, GREATER",501733.19,559867.33,107,FALSE
1998,COBIA,177062.36000000002,313767.12,149,FALSE
1998,"GROUPER, GAG",2650046.24,6158268.93,161,FALSE
1998,"GROUPER, RED",4369038.8,8136192.7700000005,164,FALSE
1998,"GROUPER, YELLOWEDGE",687591.08,1587618.12,70,FALSE
1998,HOGFISH,16188.58,28354.81,49,FALSE
1998,"MACKEREL, KING",746349.64,813923.45,96,FALSE
1998,"MACKEREL, SPANISH",460591,277662.35,105,FALSE
1998,SCAMP,249524.82,579975.26,107,FALSE
1998,"SNAPPER, GRAY",185034.4,314957.75,169,FALSE
1998,"SNAPPER, MUTTON",73177.09,121775.17,66,FALSE
1998,"SNAPPER, RED",4689314,9790619.31,139,FALSE
1998,"SNAPPER, VERMILION",1732111.8900000001,3268510.3,122,FALSE
1998,"SNAPPER, YELLOWTAIL",344535.02,617767.42,63,FALSE
1998,"TRIGGERFISH, GRAY",31095,22762,13,FALSE
1999,"AMBERJACK, GREATER",406632.60000000003,455284.83,102,FALSE
1999,COBIA,167472.76,307750.21,163,FALSE
1999,"GROUPER, GAG",2052658.8800000001,4856279.65,168,FALSE
1999,"GROUPER, RED",6839739.390000001,12816960.5,165,FALSE
1999,"GROUPER, YELLOWEDGE",1059116.17,2450972.27,57,FALSE
1999,HOGFISH,22850.69,40401.94,51,FALSE
1999,"MACKEREL, KING",1233718.65,1343290.8,98,FALSE
1999,"MACKEREL, SPANISH",872355.25,439460.69,116,FALSE
1999,SCAMP,298448.71,700617.09,106,FALSE
1999,"SNAPPER, GRAY",203970.57,362213.67,176,FALSE
1999,"SNAPPER, MUTTON",82974.32,143214.04,64,FALSE
1999,"SNAPPER, RED",4882130.83,9577761.48,138,FALSE
1999,"SNAPPER, VERMILION",2034292.24,3781894.5,129,FALSE
1999,"SNAPPER, YELLOWTAIL",600876.12,1039005.84,74,FALSE
1999,"TRIGGERFISH, GRAY",102141,105582,38,FALSE
2000,"AMBERJACK, GREATER",784240.54,862540.47,119,FALSE
2000,COBIA,129790.08,229573.863,143,FALSE
2000,"GROUPER, GAG",2257249.15,5563675.328,169,FALSE
2000,"GROUPER, RED",6707234.03,12901423.52,175,FALSE
2000,"GROUPER, YELLOWEDGE",1247945.33,2998769.97,58,FALSE
2000,HOGFISH,21256.12,38783.63,62,FALSE
2000,"MACKEREL, KING",1566228.51,1773465.31,103,FALSE
2000,"MACKEREL, SPANISH",910954.91,461312.63,119,FALSE
2000,SCAMP,227943.94,540040.78,106,FALSE
2000,"SNAPPER, GRAY",186377.11000000002,337309.71,171,FALSE
2000,"SNAPPER, MUTTON",74673.74,131719.71,66,FALSE
2000,"SNAPPER, RED",4836368.86,9341966.305,137,FALSE
2000,"SNAPPER, VERMILION",1463052.92,2756278.834,109,FALSE
2000,"SNAPPER, YELLOWTAIL",377229.26,684456.9,75,FALSE
2000,"TRIGGERFISH, GRAY",87745.22,92854.55,34,FALSE
2001,"AMBERJACK, GREATER",606318.03,615688,121,FALSE
2001,COBIA,91839.18000000001,175399.14,146,FALSE
2001,"GROUPER, GAG",3276882.34,8036509.67,163,FALSE
2001,"GROUPER, RED",6747085.07,12966459.85,167,FALSE
2001,"GROUPER, YELLOWEDGE",850131.1,2176521.95,65,FALSE
2001,HOGFISH,24731.4,48736.97,56,FALSE
2001,"MACKEREL, KING",1447112.69,1782559.09,96,FALSE
2001,"MACKEREL, SPANISH",1182918.55,632116.48,96,FALSE
2001,SCAMP,309784.62,757896.144,115,FALSE
2001,"SNAPPER, GRAY",197780.61000000002,371644.684,182,FALSE
2001,"SNAPPER, MUTTON",79591.47,138256.62,67,FALSE
2001,"SNAPPER, RED",4678293.44,10284332.12,148,FALSE
