"indicator","Sea Level Rise"
"unit","Change in mean sea level (mm)"
"extent","Gulf of America"
"2012.0993","61.01"
"2012.1112","46.78"
"2012.1259","42.23"
"2012.1274","151.8"
"2012.1534","40.06"
"2012.1666","20.34"
"2012.1804","51.58"
"2012.2072","72.76"
"2012.2343","62.39"
"2012.2617","68.16"
"2012.2889","68.46"
"2012.3163","66.06"
"2012.3423","63.77"
"2012.3655","53.87"
"2012.37","78.2"
"2012.3955","49.27"
"2012.3972","48.85"
"2012.4247","47.79"
"2012.4251","62.66"
"2012.4515","82.7"
"2012.4539","95.59"
"2012.4742","78.94"
"2012.4788","81.57"
"2012.4963","102.51"
"2012.5061","87.97"
"2012.5262","46.82"
"2012.5328","47.47"
"2012.5551","62.23"
"2012.5604","72.43"
"2012.5842","75.58"
"2012.5874","60.3"
"2012.6048","37.59"
"2012.6147","48.58"
"2012.6262","71.63"
"2012.6418","46.15"
"2012.6576","89.18"
"2012.6695","56.76"
"2012.685","60.28"
"2012.6959","59.09"
"2012.7147","33.02"
"2012.7231","63.76"
"2012.735","4.74"
"2012.7501","32.64"
"2012.7562","24.19"
"2012.7777","44.49"
"2012.7866","23.01"
"2012.8044","51.27"
"2012.8146","40.44"
"2012.8317","42.01"
"2012.8353","49.22"
"2012.8572","36.11"
"2012.8591","37.13"
"2012.8863","46.64"
"2012.8877","52.58"
"2012.9129","64.66"
"2012.9166","62.81"
"2012.9399","37.09"
"2012.9453","53.58"
"2012.9657","36.85"
"2012.9675","40.99"
"2012.987","46.88"
"2012.9946","41.61"
"2013.0184","71.85"
"2013.0221","62.77"
"2013.0467","70.12"
"2013.0487","65.77"
"2013.0753","60.91"
"2013.0761","61.4"
"2013.096","40.63"
"2013.103","72.92"
"2013.1177","63.97"
"2013.1303","38.76"
"2013.1477","27.04"
"2013.1575","35.32"
"2013.1618","-41.56"
"2013.1845","65.05"
"2013.2118","87.2"
"2013.2162","69.75"
"2013.2263","54.06"
"2013.2299","110.87"
"2013.2474","49.33"
"2013.2697","28.53"
"2013.2781","38.5"
"2013.2927","49.43"
"2013.3063","38.12"
"2013.3202","55.03"
"2013.3268","45.19"
"2013.3476","53.87"
"2013.3483","40.91"
"2013.3748","37.97"
"2013.3785","43.25"
"2013.402","43.37"
"2013.408","35.5"
"2013.4289","14.03"
"2013.4368","-1.05"
"2013.4555","19.34"
"2013.4572","31.46"
"2013.4664","-43.53"
"2013.4833","35.9"
"2013.5102","58.91"
"2013.5375","38.95"
"2013.5645","19.48"
"2013.592","18.23"
"2013.6189","23.07"
"2013.6462","34.99"
"2013.6689","50.18"
"2013.7073","1.63"
"2013.7286","12"
"2013.7544","22.72"
"2013.7821","31.19"
"2013.8089","45.11"
"2013.8362","65"
"2013.8629","37.16"
"2013.89","56.52"
"2013.9177","45.73"
"2013.9451","64.74"
"2013.9722","36.5"
"2013.9996","48.19"
"2014.0263","19.83"
"2014.0535","33.98"
"2014.0803","51.79"
"2014.1076","54.99"
"2014.1348","41.13"
"2014.1622","35.23"
"2014.1894","32.59"
"2014.2163","22.91"
"2014.2433","36.14"
"2014.2703","37.36"
"2014.2973","33.75"
"2014.325","63.21"
"2014.352","71.65"
"2014.3792","30.78"
"2014.4058","23.61"
"2014.434","15.02"
"2014.4607","44.54"
"2014.4876","58.48"
"2014.5147","55.95"
"2014.5424","20.07"
"2014.5692","26.86"
"2014.5972","40.5"
"2014.624","44.14"
"2014.6508","48.3"
"2014.6773","54.89"
"2014.705","55.05"
"2014.7325","48.92"
"2014.7597","64.28"
"2014.7859","64.79"
"2014.8141","69.17"
"2014.8403","47.03"
"2014.8684","59.11"
"2014.8939","64.34"
"2014.9223","71.43"
"2014.9493","59.86"
"2014.9776","43.8"
"2015.003","61.19"
"2015.0305","67.64"
"2015.0579","74.87"
"2015.0849","79.45"
"2015.112","63.94"
